"Component","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-58471","HIGH","wget","1.21.2-2ubuntu1","1.21.2-2ubuntu1.3","A medium vulnerability in deb package: wget, version 1.21.2-2ubuntu1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-6297","HIGH","dpkg","1.21.1ubuntu2.3","1.21.1ubuntu2.6","A low vulnerability in deb package: dpkg, version 1.21.1ubuntu2.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-57432","HIGH","perl-base","5.34.0-3ubuntu1.3","5.34.0-3ubuntu1.8","A medium vulnerability in deb package: perl-base, version 5.34.0-3ubuntu1.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-4878","HIGH","libcap2","1:2.44-1ubuntu0.22.04.1","1:2.44-1ubuntu0.22.04.3","A medium vulnerability in deb package: libcap2, version 1:2.44-1ubuntu0.22.04.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-4878","HIGH","libcap2-bin","1:2.44-1ubuntu0.22.04.1","1:2.44-1ubuntu0.22.04.3","A medium vulnerability in deb package: libcap2-bin, version 1:2.44-1ubuntu0.22.04.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-25210","HIGH","libexpat1","2.4.7-1ubuntu0.3","2.4.7-1ubuntu0.7","A medium vulnerability in deb package: libexpat1, version 2.4.7-1ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-9547","HIGH","curl","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.25","A low vulnerability in deb package: curl, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-9547","HIGH","libcurl4","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.25","A low vulnerability in deb package: libcurl4, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-8286","HIGH","curl","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.25","A low vulnerability in deb package: curl, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-8286","HIGH","libcurl4","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.25","A low vulnerability in deb package: libcurl4, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-22695","HIGH","libpng16-16","1.6.37-3build5","1.6.37-3ubuntu0.3","A medium vulnerability in deb package: libpng16-16, version 1.6.37-3build5 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-6276","HIGH","curl","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.24","A low vulnerability in deb package: curl, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-6276","HIGH","libcurl4","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.24","A low vulnerability in deb package: libcurl4, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-11822","HIGH","libsqlite3-0","3.37.2-2ubuntu0.3","3.37.2-2ubuntu0.6","A medium vulnerability in deb package: libsqlite3-0, version 3.37.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-11824","HIGH","libsqlite3-0","3.37.2-2ubuntu0.3","3.37.2-2ubuntu0.6","A medium vulnerability in deb package: libsqlite3-0, version 3.37.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-31789","CRITICAL","libssl3","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.23","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-31789","CRITICAL","openssl","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.23","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-54371","HIGH","libattr1","1:2.5.1-1build1","1:2.5.1-1ubuntu0.1","A medium vulnerability in deb package: libattr1, version 1:2.5.1-1build1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-75803","CRITICAL","libssl3","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.29","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-75803","CRITICAL","openssl","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.29","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-22801","HIGH","libpng16-16","1.6.37-3build5","1.6.37-3ubuntu0.3","A medium vulnerability in deb package: libpng16-16, version 1.6.37-3build5 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-q9q2-3ppx-mwqf","HIGH","graylog2-server","5.2.7","6.2.0","A high vulnerability in java-archive package: graylog2-server, version 5.2.7 was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-r7wm-3cxj-wff9","HIGH","jackson-core","2.15.2","2.18.8","A high vulnerability in java-archive package: jackson-core, version 2.15.2 was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","CVE-2025-15467","CRITICAL","libcrypto3","3.5.1-r0","3.5.5-r0","A critical vulnerability in apk package: libcrypto3, version 3.5.1-r0 was found in image jaegertracing/jaeger:2.11.0 at: /lib/apk/db/installed"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","CVE-2025-15467","CRITICAL","libssl3","3.5.1-r0","3.5.5-r0","A critical vulnerability in apk package: libssl3, version 3.5.1-r0 was found in image jaegertracing/jaeger:2.11.0 at: /lib/apk/db/installed"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","CVE-2026-45447","HIGH","libcrypto3","3.5.1-r0","3.5.7-r0","A high vulnerability in apk package: libcrypto3, version 3.5.1-r0 was found in image jaegertracing/jaeger:2.11.0 at: /lib/apk/db/installed"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","CVE-2026-45447","HIGH","libssl3","3.5.1-r0","3.5.7-r0","A high vulnerability in apk package: libssl3, version 3.5.1-r0 was found in image jaegertracing/jaeger:2.11.0 at: /lib/apk/db/installed"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","GO-2026-4341","HIGH","stdlib","go1.25.1","1.24.12,1.25.6","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/jaeger:2.11.0 at: /cmd/jaeger/jaeger-linux"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","GHSA-p77j-4mvh-x3m3","CRITICAL","google.golang.org/grpc","v1.75.0","1.79.3","A critical vulnerability in go-module package: google.golang.org/grpc, version v1.75.0 was found in image jaegertracing/jaeger:2.11.0 at: /cmd/jaeger/jaeger-linux"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","CVE-2025-9230","HIGH","libcrypto3","3.5.1-r0","3.5.4-r0","A high vulnerability in apk package: libcrypto3, version 3.5.1-r0 was found in image jaegertracing/jaeger:2.11.0 at: /lib/apk/db/installed"
"qubership-jaeger","grype","jaegertracing/jaeger:2.11.0","CVE-2025-9230","HIGH","libssl3","3.5.1-r0","3.5.4-r0","A high vulnerability in apk package: libssl3, version 3.5.1-r0 was found in image jaegertracing/jaeger:2.11.0 at: /lib/apk/db/installed"
